player,n_headers,goals_scored,expected_goals,difference
adlene guedioura,1,0.0,0.05577453027687265,0.05577453027687265
jerome leroy,1,0.0,0.05577453027687265,0.05577453027687265
valentin rongier,1,0.0,0.05577453027687265,0.05577453027687265
tobias kempe,1,0.0,0.05577453027687265,0.05577453027687265
yassin mikari,1,0.0,0.05577453027687265,0.05577453027687265
steven defour,1,0.0,0.05577453027687265,0.05577453027687265
emil hallfredsson,1,0.0,0.05577453027687265,0.05577453027687265
dennis diekmeier,1,0.0,0.05577453027687265,0.05577453027687265
stephane grichting,1,0.0,0.05577453027687265,0.05577453027687265
manu del moral,26,3.0,3.056364880105049,0.05636488010504702
nunes,12,1.0,1.0575484781698847,0.05754847816988459
alexander merkel,1,0.0,0.058460247976312454,0.058460247976312454
johannes flum,7,1.0,1.061994671749318,0.061994671749317984
imanol garcia,1,0.0,0.06251405649448946,0.06251405649448946
guillermo giacomazzi,8,1.0,1.0631573062673356,0.0631573062673356
nicola sansone,15,2.0,2.063258215061698,0.06325821506169793
gareth barry,15,2.0,2.0636417542227625,0.0636417542227629
hassan yebda,7,1.0,1.0644731967937928,0.06447319679379271
raul navas,15,2.0,2.0648172114340246,0.0648172114340245
antony robic,2,0.0,0.06498439902959044,0.06498439902959044
sisi,2,0.0,0.06498439902959044,0.06498439902959044
zdenek pospech,3,0.0,0.06501630342912305,0.06501630342912305
kike,5,1.0,1.0679255661984228,0.06792556619842283
ricardo carvalho,22,2.0,2.070002032602201,0.07000203260220106
mohamed mara,2,0.0,0.0702238286795043,0.0702238286795043
ruben sanchez,2,0.0,0.07024843499528179,0.07024843499528179
matty fryatt,2,0.0,0.07141570494641732,0.07141570494641732
matthias ginter,35,3.0,3.0730718818634406,0.07307188186343941
francois modesto,9,2.0,2.073087519908939,0.07308751990893919
james wilson,1,0.0,0.07369825124360464,0.07369825124360464
renato augusto,1,0.0,0.07369825124360464,0.07369825124360464
xisco,1,0.0,0.07369825124360464,0.07369825124360464
kyle walker,1,0.0,0.07369825124360464,0.07369825124360464
ruben micael,1,0.0,0.07369825124360464,0.07369825124360464
mikel merino,1,0.0,0.07369825124360464,0.07369825124360464
ngolo kante,1,0.0,0.07369825124360464,0.07369825124360464
jan hochscheidt,1,0.0,0.07369825124360464,0.07369825124360464
nicki bille nielsen,1,0.0,0.07369825124360464,0.07369825124360464
carlos clerc,1,0.0,0.07369825124360464,0.07369825124360464
benjamin mendy,1,0.0,0.07369825124360464,0.07369825124360464
alexandros tziolis,1,0.0,0.07369825124360464,0.07369825124360464
roque,1,0.0,0.07369825124360464,0.07369825124360464
lluis sastre,1,0.0,0.07369825124360464,0.07369825124360464
vigaray,1,0.0,0.07369825124360464,0.07369825124360464
alessandro crescenzi,1,0.0,0.07369825124360464,0.07369825124360464
kim kallstrom,1,0.0,0.07369825124360464,0.07369825124360464
alexandre raineau,1,0.0,0.07369825124360464,0.07369825124360464
riccardo cazzola,1,0.0,0.07369825124360464,0.07369825124360464
noe dussenne,1,0.0,0.07369825124360464,0.07369825124360464
jaume costa,1,0.0,0.07369825124360464,0.07369825124360464
balenziaga,1,0.0,0.07369825124360464,0.07369825124360464
lalaina nomenjanahary,1,0.0,0.07369825124360464,0.07369825124360464
milan badelj,1,0.0,0.07369825124360464,0.07369825124360464
barry bannan,1,0.0,0.07369825124360464,0.07369825124360464
kermit erasmus,1,0.0,0.07369825124360464,0.07369825124360464
berkay dabanli,1,0.0,0.07369825124360464,0.07369825124360464
ben chilwell,1,0.0,0.07369825124360464,0.07369825124360464
zinedine machach,1,0.0,0.07369825124360464,0.07369825124360464
nery castillo,1,0.0,0.07369825124360464,0.07369825124360464
richard soumah,1,0.0,0.07369825124360464,0.07369825124360464
bobley anderson,1,0.0,0.07369825124360464,0.07369825124360464
billy ketkeophomphone,1,0.0,0.07369825124360464,0.07369825124360464
jos hooiveld,1,0.0,0.07369825124360464,0.07369825124360464
ruben suarez,1,0.0,0.07369825124360464,0.07369825124360464
valentin lavigne,1,0.0,0.07369825124360464,0.07369825124360464
kamil vacek,1,0.0,0.07369825124360464,0.07369825124360464
alessandro potenza,1,0.0,0.07369825124360464,0.07369825124360464
louis saha,1,0.0,0.07369825124360464,0.07369825124360464
bruno gama,1,0.0,0.07369825124360464,0.07369825124360464
kamil wilczek,1,0.0,0.07369825124360464,0.07369825124360464
miguel angel guerrero ,1,0.0,0.07369825124360464,0.07369825124360464
roberto guana,1,0.0,0.07369825124360464,0.07369825124360464
bruno zuculini,1,0.0,0.07369825124360464,0.07369825124360464
jose gimenez,1,0.0,0.07369825124360464,0.07369825124360464
sime vrsaljko,1,0.0,0.07369825124360464,0.07369825124360464
luca antonini,1,0.0,0.07369825124360464,0.07369825124360464
michele ferri,1,0.0,0.07369825124360464,0.07369825124360464
luca ceccarelli,1,0.0,0.07369825124360464,0.07369825124360464
carles gil,1,0.0,0.07369825124360464,0.07369825124360464
nordin amrabat,1,0.0,0.07369825124360464,0.07369825124360464
alexander bugera,1,0.0,0.07369825124360464,0.07369825124360464
jacheoul koo,1,0.0,0.07369825124360464,0.07369825124360464
lossemy karaboue,1,0.0,0.07369825124360464,0.07369825124360464
mikel balenziaga,1,0.0,0.07369825124360464,0.07369825124360464
yann kermorgant,1,0.0,0.07369825124360464,0.07369825124360464
bobby wood,1,0.0,0.07369825124360464,0.07369825124360464
abdoulaye toure,1,0.0,0.07369825124360464,0.07369825124360464
alex menendez,1,0.0,0.07369825124360464,0.07369825124360464
lora,1,0.0,0.07369825124360464,0.07369825124360464
raphael martinho,1,0.0,0.07369825124360464,0.07369825124360464
abdel,1,0.0,0.07369825124360464,0.07369825124360464
koo jacheol,1,0.0,0.07369825124360464,0.07369825124360464
valmir nafiu,1,0.0,0.07369825124360464,0.07369825124360464
nicola bellomo,1,0.0,0.07369825124360464,0.07369825124360464
valentin vada,1,0.0,0.07369825124360464,0.07369825124360464
mikael mandron,1,0.0,0.07369825124360464,0.07369825124360464
yannick carrasco,1,0.0,0.07369825124360464,0.07369825124360464
nico elvedi,1,0.0,0.07369825124360464,0.07369825124360464
jorginho frello,1,0.0,0.07369825124360464,0.07369825124360464
alessandro sgrigna,1,0.0,0.07369825124360464,0.07369825124360464
jack collison,1,0.0,0.07369825124360464,0.07369825124360464
javier espinosa,1,0.0,0.07369825124360464,0.07369825124360464
