player,n_outside_box_shots,goals_scored,expected_goals,difference
ross wallace,7,0.0,0.12024155670160594,0.12024155670160594
nicolas anelka,4,0.0,0.12026645376096881,0.12026645376096881
bruno pereirinha,3,0.0,0.12048626686186417,0.12048626686186417
rafa,3,0.0,0.12048626686186417,0.12048626686186417
stefano mauri,35,1.0,1.1206007220312313,0.12060072203123127
maciej rybus,6,0.0,0.12072698101745497,0.12072698101745497
federico mattiello,4,0.0,0.1208859761352731,0.1208859761352731
javier manquillo,4,0.0,0.12142180359871999,0.12142180359871999
inigo lopez,3,0.0,0.12177463800215171,0.12177463800215171
raphael caceres,4,0.0,0.12207251917868028,0.12207251917868028
fouad chafik,4,0.0,0.12207251917868028,0.12207251917868028
santiago silva,4,0.0,0.12207251917868031,0.12207251917868031
piotr zielinski,69,2.0,2.1225127347378527,0.12251273473785217
petrus boumal,4,0.0,0.1225661869877667,0.1225661869877667
vincent laurini,4,0.0,0.1225661869877667,0.1225661869877667
kike,4,0.0,0.1225661869877667,0.1225661869877667
alex berenguer,4,0.0,0.12305031401292832,0.12305031401292832
mattia destro,57,2.0,2.124173138518865,0.12417313851886355
michael frey,4,0.0,0.12435664720088582,0.12435664720088582
alexandros tziolis,4,0.0,0.12435664720088582,0.12435664720088582
facundo bertoglio,4,0.0,0.12435664720088582,0.12435664720088582
erwin koffi,4,0.0,0.12448250176610373,0.12448250176610373
jonathan bamba,4,0.0,0.12490964163153231,0.12490964163153231
dan nistor,4,0.0,0.12490964163153231,0.12490964163153231
boschilia,6,0.0,0.12497422222824592,0.12497422222824592
christian eichner,4,0.0,0.12504269751884795,0.12504269751884795
jakub swierczok,4,0.0,0.12538770423602635,0.12538770423602635
fabrice,4,0.0,0.125511997038637,0.125511997038637
sergio alvarez,4,0.0,0.125511997038637,0.125511997038637
goran causic,4,0.0,0.125511997038637,0.125511997038637
jesus rueda,6,0.0,0.12562943567913612,0.12562943567913612
lazar markovic,4,0.0,0.12573557275316874,0.12573557275316874
matteo guendouzi,4,0.0,0.12592904047884354,0.12592904047884354
jonny evans,4,0.0,0.12615380338016613,0.12615380338016613
ferebory dore,4,0.0,0.1261627126185973,0.1261627126185973
moises hurtado,4,0.0,0.1261627126185973,0.1261627126185973
eduardo,4,0.0,0.1261627126185973,0.1261627126185973
stuart okeefe,4,0.0,0.1261627126185973,0.1261627126185973
ze eduardo love,4,0.0,0.1261627126185973,0.1261627126185973
jerry mbakogu,4,0.0,0.1261627126185973,0.1261627126185973
giorgos karagounis,4,0.0,0.1261627126185973,0.1261627126185973
nicolas hofler,4,0.0,0.1261627126185973,0.1261627126185973
rodrigue ninga,4,0.0,0.1261627126185973,0.1261627126185973
romain amalfitano,4,0.0,0.1261627126185973,0.1261627126185973
iturraspe,4,0.0,0.1261627126185973,0.1261627126185973
marc bartra,4,0.0,0.12616271261859732,0.12616271261859732
vegar hedenstad,5,0.0,0.12622143193884686,0.12622143193884686
bobby zamora,6,0.0,0.12632492985954372,0.12632492985954372
ondrej celustka,3,0.0,0.12632763998895408,0.12632763998895408
martin hinteregger,5,0.0,0.12661062418857497,0.12661062418857497
nikola djurdjic,5,0.0,0.12661062418857497,0.12661062418857497
andre luiz,2,0.0,0.1271087996985033,0.1271087996985033
federico fazio,4,0.0,0.12719376965373783,0.12719376965373783
matteo darmian,27,1.0,1.1273836487024311,0.12738364870243116
richard sukutapasu,4,0.0,0.12792244726608268,0.12792244726608268
alessandro frara,3,0.0,0.12808737463643943,0.12808737463643943
aritz elustondo,4,0.0,0.1281920717206151,0.1281920717206151
seamus coleman,31,1.0,1.1282139559147157,0.12821395591471568
bruno alves,7,0.0,0.1282468691850313,0.1282468691850313
abdoulaye toure,4,0.0,0.128349119491489,0.128349119491489
nicolas burdisso,3,0.0,0.1285380042444455,0.1285380042444455
martin demichelis,4,0.0,0.12857269520602074,0.12857269520602074
andres tello,4,0.0,0.12876616293169557,0.12876616293169557
fabio sciacca,4,0.0,0.12884278730057538,0.12884278730057538
diallo guidileye,4,0.0,0.1288427873005754,0.1288427873005754
milan bisevac,4,0.0,0.1288427873005754,0.1288427873005754
franck kessie,4,0.0,0.12899983507144933,0.12899983507144933
marcel tisserand,4,0.0,0.12899983507144933,0.12899983507144933
stefan kutschke,4,0.0,0.12899983507144933,0.12899983507144933
miso brecko,4,0.0,0.12899983507144933,0.12899983507144933
anthony mounier,75,2.0,2.129612991919092,0.1296129919190924
jon errasti,4,0.0,0.13003101626052838,0.13003101626052838
joseph romeric lopy,4,0.0,0.13003101626052838,0.13003101626052838
stephen kingsley,4,0.0,0.1301348415820426,0.1301348415820426
michael dawson,3,0.0,0.13044176441454478,0.13044176441454478
pablo caceres,5,0.0,0.13070081762849198,0.13070081762849198
ciro capuano,5,0.0,0.13070081762849198,0.13070081762849198
claude dielna,8,0.0,0.13102462348753505,0.13102462348753505
fabien robert,5,0.0,0.1310643511130819,0.1310643511130819
giovanni simeone,4,0.0,0.13128396309365484,0.13128396309365484
johan elmander,4,0.0,0.13132138462544976,0.13132138462544976
matias silvestre,4,0.0,0.1313213846254498,0.1313213846254498
dimitri kevin cavare,4,0.0,0.132374470904294,0.132374470904294
andre dias,4,0.0,0.132439312931406,0.132439312931406
kevin malcuit,4,0.0,0.132439312931406,0.132439312931406
damien da silva,4,0.0,0.132439312931406,0.132439312931406
ahmed kantari,5,0.0,0.1330442722722576,0.1330442722722576
luciano fabian monzon,5,0.0,0.1330442722722576,0.1330442722722576
asier del horno,6,0.0,0.1330765625706144,0.1330765625706144
mohamed mara,4,0.0,0.13309002851136634,0.13309002851136634
bobley anderson,4,0.0,0.13309002851136634,0.13309002851136634
henrique sereno,4,0.0,0.13309002851136634,0.13309002851136634
leonardo spinazzola,4,0.0,0.13309002851136634,0.13309002851136634
wallace,4,0.0,0.13309002851136634,0.13309002851136634
chris philipps,4,0.0,0.13309002851136634,0.13309002851136634
tom davies,4,0.0,0.13309002851136634,0.13309002851136634
souleymane diawara,4,0.0,0.13309002851136634,0.13309002851136634
heinrich schmidtgal,7,0.0,0.1331088528689712,0.1331088528689712
vangelis moras,3,0.0,0.1332549558817231,0.1332549558817231
ibrahima mbaye,4,0.0,0.13341710776565402,0.13341710776565402
dean hammond,4,0.0,0.133627541891359,0.133627541891359
ikechi anya,4,0.0,0.1341585070783018,0.1341585070783018
phil jones,5,0.0,0.1350567464373012,0.1350567464373012
anders christiansen,4,0.0,0.1351193876133841,0.1351193876133841
sabin,5,0.0,0.1351545445529989,0.1351545445529989
kelvin adou,4,0.0,0.13527643538425801,0.13527643538425801
ilir azemi,5,0.0,0.1358028265110355,0.1358028265110355
diego colotto,5,0.0,0.13580282651103553,0.13580282651103553
mateo kovacic,63,2.0,2.1363153165542834,0.13631531655428167
