player,n_shots,goals_scored,expected_goals,difference,xG_per_shot_ratio
geoffrey kondogbia,119,5.0,8.878128841098675,3.878128841098669,0.07460612471511492
dimitri payet,456,44.0,34.12348209320842,-9.876517906791538,0.07483219757282548
angel di maria,347,30.0,26.156044849032472,-3.8439551509675947,0.07537765086176505
marco benassi,139,13.0,10.532424661012318,-2.467575338987683,0.0757728392878584
daniele baselli,103,10.0,7.817116066169653,-2.182883933830344,0.0758943307395112
ibai gomez,193,15.0,14.648133113948141,-0.35186688605187477,0.07589706276657068
victor rodriguez,139,8.0,10.56178231896962,2.5617823189696254,0.07598404546021309
blerim dzemaili,197,24.0,14.977664485296934,-9.0223355147031,0.07602875373247174
raphael guerreiro,127,12.0,9.701845136977306,-2.298154863022701,0.0763924813935221
juan arango,231,17.0,17.684023152646915,0.6840231526469163,0.07655421278202128
ronny rodelin,233,19.0,17.867604157085527,-1.132395842914467,0.07668499638234132
marcelo brozovic,110,8.0,8.463054137101565,0.4630541371015679,0.07693685579183242
kwadwo asamoah,112,7.0,8.620896926519979,1.6208969265199749,0.07697229398678553
alex lopez,124,8.0,9.566406980747471,1.5664069807474752,0.07714844339312477
yohan mollo,117,14.0,9.028384235835375,-4.971615764164622,0.07716567722936218
matias fernandez,118,7.0,9.158582429888005,2.158582429888008,0.07761510533803394
arnold mvuemba,102,7.0,7.919947697944007,0.919947697944009,0.07764654605827458
benjamin andre,121,9.0,9.399645983860122,0.3996459838601198,0.077683024660001
marcos alonso,138,7.0,10.740182028915255,3.7401820289152523,0.07782740600663228
felipe anderson,165,19.0,12.852658082400012,-6.147341917600008,0.07789489746909098
gaston ramirez,123,12.0,9.58925924137787,-2.410740758622135,0.07796145724697456
emre can,110,9.0,8.576032334784603,-0.42396766521539264,0.07796393031622366
ilkay gundogan,173,13.0,13.52586807318919,0.5258680731891792,0.07818420851554446
yoann gourcuff,119,16.0,9.324299240703144,-6.675700759296863,0.0783554558042281
emiliano armenteros,141,9.0,11.061841661862438,2.0618416618624376,0.07845277774370524
craig gardner,113,7.0,8.898567930092293,1.8985679300922924,0.0787483887618787
christian eriksen,320,28.0,25.236440152479503,-2.7635598475205034,0.07886387547649845
david alaba,147,9.0,11.595829446243895,2.595829446243896,0.07888319351186324
cristian tello,110,13.0,8.694294292182349,-4.305705707817653,0.07903903901983954
