player,n_shots,goals_scored,expected_goals,difference,xG_per_shot_ratio
felipe caicedo,75,17.0,11.956645649853522,-5.043354350146473,0.15942194199804696
mark uth,54,12.0,7.001092262322162,-4.998907737677836,0.12964985670966966
sidney sam,102,14.0,9.00116296889675,-4.99883703110324,0.08824669577349756
yohan mollo,117,14.0,9.028384235835375,-4.971615764164622,0.07716567722936218
thomas lemar,79,13.0,8.029550756551476,-4.970449243448527,0.10163988299432249
szabolcs huszti,95,20.0,15.088969696431954,-4.911030303568044,0.15883125996244163
mohammed abdellaoue,80,20.0,15.100436659453289,-4.899563340546715,0.1887554582431661
ola toivonen,98,20.0,15.11179257195327,-4.888207428046733,0.15420196501993133
gonzalo rodriguez,72,22.0,17.12433195011598,-4.875668049884025,0.23783794375161083
vicente iborra,156,28.0,23.134188200776013,-4.865811799223997,0.14829607821010266
julian brandt,81,17.0,12.138811907616814,-4.8611880923831885,0.14986187540267673
nacer chadli,130,19.0,14.187006417951538,-4.812993582048463,0.10913081859962721
sadio mane,185,31.0,26.200246048851355,-4.799753951148663,0.14162295161541272
michy batshuayi,160,27.0,22.220265704908545,-4.779734295091459,0.1388766606556784
marco borriello,203,32.0,27.229075855010784,-4.770924144989242,0.13413337859611224
roberto soriano,185,21.0,16.246371106670995,-4.753628893329014,0.0878182221982216
jay rodriguez,131,19.0,14.2557016982619,-4.744298301738093,0.10882215036841145
stefano mauri,123,21.0,16.278745755580754,-4.721254244419248,0.13234752646813622
cyril thereau,365,54.0,49.307483803439425,-4.6925161965605735,0.13508899672175184
ignacio camacho,107,15.0,10.354279965178259,-4.645720034821739,0.09676897163718
leonardo pavoletti,123,23.0,18.397401616975067,-4.602598383024932,0.149572370869716
patrick helmes,45,12.0,7.427170780838252,-4.572829219161746,0.16504823957418338
jakub blaszczykowski,120,21.0,16.44704193432348,-4.552958065676525,0.137058682786029
thomas muller,390,67.0,62.45565644699567,-4.544343553004311,0.16014270883845044
